symbol,addr,refs,corroborated,class,sources
DAT_10ac610c,0x10AC610C,1,0,"named global, no address recorded",0x10037720
DAT_10ac6114,0x10AC6114,1,0,"named global, no address recorded",0x10037720
g_pBrAA2E80,0x10AC61E0,1,0,"named global, no address recorded",0x100592D0
g_BrDikPrev,0x10AC61E8,1,0,"named global, no address recorded",0x10058FA0
g_BrDikState,0x10AC65E8,1,0,"named global, no address recorded",0x10058FA0
DAT_10ac66e8,0x10AC66E8,2,1,"named global, no address recorded",0x10059060
DAT_10ac6720,0x10AC6720,1,0,"named global, no address recorded",0x10059060
DAT_10ac6730,0x10AC6730,4,1,"named global, no address recorded",0x10037720 0x10059060
DAT_10ac6734,0x10AC6734,1,0,"named global, no address recorded",0x10037720
DAT_10ac6738,0x10AC6738,1,0,"named global, no address recorded",0x10037720
DAT_10ac673c,0x10AC673C,1,0,"named global, no address recorded",0x10037720
g_brAA33E4,0x10AC6744,2,1,"named global, no address recorded",0x10040660 0x100406A0
BrImgTintState,0x10AC67A0,3,1,"named global, no address recorded",0x1005A4E0
g_BrSndAA3470,0x10AC67D0,2,1,"named global, no address recorded",0x10060DB0 0x10060E30
g_brPairA,0x10AF2094,2,1,"named global, no address recorded",0x10037870
g_pBrMenuACED34,0x10AF2094,3,1,"named global, no address recorded",0x1003B0B0
g_brAD0854,0x10AF3BB4,3,1,"named global, no address recorded",0x10004D30
g_brPairB,0x10AF4BFC,2,1,"named global, no address recorded",0x10037870
g_brPairStaticA,0x10B1CBF0,1,0,"named global, no address recorded",0x10037870
g_brPairStaticB,0x10B1CD3C,1,0,"named global, no address recorded",0x10037870
BrG_AF9BC0,0x10B1CF20,1,0,"named global, no address recorded",0x10062500
BrG_AFDBC0,0x10B20F20,1,0,"named global, no address recorded",0x10062500
BrG_B01C40,0x10B24FA0,4,1,"named global, no address recorded",0x10062500 0x100625F0
BrG_B01C44,0x10B24FA4,4,1,"named global, no address recorded",0x100625A0 0x100625F0
BrG_B01C48,0x10B24FA8,4,1,"named global, no address recorded",0x10062550 0x100625F0
BrG_B01C50,0x10B24FB0,1,0,"named global, no address recorded",0x100625A0
BrG_B01ED0,0x10B25230,1,0,"named global, no address recorded",0x100625A0
BrG_B02190,0x10B254F0,1,0,"named global, no address recorded",0x10062550
BrG_B022D0,0x10B25630,1,0,"named global, no address recorded",0x10062550
g_BrCtrlCfg,0x10B71290,1,0,"named global, no address recorded",0x10062AD0
g_brB4E708,0x10B71A68,1,0,"named global, no address recorded",0x10038060
g_brB4E70C,0x10B71A6C,1,0,"named global, no address recorded",0x10038060
g_BrReplayCount,0x10B73648,2,1,"named global, no address recorded",0x10063A00 0x10063B50
DAT_10b73668,0x10B73668,1,0,"named global, no address recorded",0x10063B40
DAT_10cf3668,0x10CF3668,1,0,"named global, no address recorded",0x10063DA0
g_1750308,0x11773668,1,0,"named global, no address recorded",0x10063A40
g_BrReplayOn,0x11773668,2,1,"named global, no address recorded",0x10063A00 0x10063A50
g_BrReplayCursor,0x11773670,1,0,"named global, no address recorded",0x10063B60
DAT_11773690,0x11773690,2,1,"named global, no address recorded",0x10069530
DAT_11778808,0x11778808,2,1,"named global, no address recorded",0x10069530
DAT_11778820,0x11778820,2,1,"named global, no address recorded",0x10069530
DAT_117a5f28,0x117A5F28,1,0,"named global, no address recorded",0x10069DC0
g_aBrPeer71,0x117A9B88,4,1,"named global, no address recorded",0x1006A440 0x1006A4D0
g_178FEE8,0x117B3248,2,1,"named global, no address recorded",0x1006A310 0x1006A4D0
DAT_117b324c,0x117B324C,1,0,"named global, no address recorded",0x1006A4D0
g_aBr178FEF8,0x117B3258,4,1,"named global, no address recorded",0x1006A480 0x1006A4D0
DAT_11849e60,0x11849E60,3,1,"named global, no address recorded",0x1006B1E0
g_1826BD0,0x11849F30,2,1,"named global, no address recorded",0x1006A550 0x1006A580
DAT_1184c078,0x1184C078,2,1,"named global, no address recorded",0x1006B1E0
DAT_1184c07c,0x1184C07C,3,1,"named global, no address recorded",0x1006B1E0
DAT_1184c094,0x1184C094,1,0,"named global, no address recorded",0x1006B730
g_aBrSndBankVoice,0x1184C268,4,1,"named global, no address recorded",0x1006B4F0 0x1006B5B0 0x1006B730 0x1006BF50
BrSndPDS,0x1184C458,6,1,"named global, no address recorded",0x1006B4F0 0x1006B5B0 0x1006B670 0x1006B730 0x1006BA00 0x1006BF50
BrSndG18290FC,0x1184C45C,6,1,"named global, no address recorded",0x1006B4F0 0x1006B5B0 0x1006B670 0x1006B730 0x1006BA00 0x1006BF50
DAT_1184c460,0x1184C460,1,0,"named global, no address recorded",0x1006C8B0
DAT_1184c464,0x1184C464,1,0,"named global, no address recorded",0x1006C8B0
g_1829108,0x1184C468,1,0,"named global, no address recorded",0x1006C820
DAT_1184c470,0x1184C470,1,0,"named global, no address recorded",0x1006C750
g_1829314,0x1184C474,1,0,"named global, no address recorded",0x1006C850
DAT_1184c478,0x1184C478,1,0,"named global, no address recorded",0x1006C750
DAT_1184c480,0x1184C480,1,0,"named global, no address recorded",0x1006C880
DAT_1184c484,0x1184C484,1,0,"named global, no address recorded",0x1006C800
g_BrX1829850,0x1186C968,2,1,"named global, no address recorded",0x1006E060 0x1006E080
g_br18A9878,0x118EC990,2,1,"named global, no address recorded",0x1006E180 0x1006E1A0
DAT_118ed1a0,0x118ED1A0,1,0,"named global, no address recorded",0x1006E020
g_br18AA098,0x118ED1B0,2,1,"named global, no address recorded",0x1006E180 0x1006E1A0
g_br18AA0A0,0x118ED1B8,3,1,"named global, no address recorded",0x1006E180 0x1006E1A0
g_18AA0B0,0x118ED1C8,3,1,"named global, no address recorded",0x1006C820 0x1006C850 0x1006C910
g_pfn18AA0B0,0x118ED1C8,5,1,"named global, no address recorded",0x1006C750 0x1006C880 0x1006C8B0 0x1006C950
DAT_118ed1cc,0x118ED1CC,1,0,"named global, no address recorded",0x1001E2E0
DAT_118ed1d0,0x118ED1D0,1,0,"named global, no address recorded",0x1001E300
g_18AA0D8,0x118ED1F0,1,0,"named global, no address recorded",0x1006C910
g_18AA0F8,0x118ED210,1,0,"named global, no address recorded",0x1006C950
g_18AA8F8,0x118EDA10,1,0,"named global, no address recorded",0x1006C910
g_18AB0F8,0x118EE210,1,0,"named global, no address recorded",0x1006C950
g_br18AB118$S1499,0x118EE230,2,1,file-static stand-in (no 1:1 original global),0x1006E3B0
g_br18AB118_S_S1499,0x118EE230,1,0,"named global, no address recorded",0x1006E350
g_br18AB12C$S1497,0x118EE244,3,1,file-static stand-in (no 1:1 original global),0x1006E3B0
g_br18AB134$S1500,0x118EE24C,2,1,file-static stand-in (no 1:1 original global),0x1006E3B0
g_18ABAD4,0x118EEBEC,1,0,"named global, no address recorded",0x100703A0
g_18ABD38,0x118EEE50,1,0,"named global, no address recorded",0x100703A0
g_18ABD80,0x118EEE98,1,0,"named global, no address recorded",0x100703A0
imp__WaitForSingleObject@8,0x118F044C,7,1,"named global, no address recorded",0x10004F20 0x10004F50 0x10004F90 0x10006100 0x1006A440 0x1006A480 0x1006B1E0
imp__GlobalUnlock@4,0x118F0450,3,1,"named global, no address recorded",0x10009BA0 0x10036670 0x1006BB90
imp__GlobalHandle@4,0x118F0454,3,1,"named global, no address recorded",0x10009BA0 0x10036670 0x1006BB90
imp__CreateMutexA@12,0x118F045C,3,1,"named global, no address recorded",0x10005E80 0x1006A4D0 0x1006E180
imp__CloseHandle@4,0x118F0494,2,1,"named global, no address recorded",0x1006B1E0 0x1006E1A0
imp__SetEvent@4,0x118F0498,1,0,"named global, no address recorded",0x1006B1E0
imp__ReleaseMutex@4,0x118F04BC,7,1,"named global, no address recorded",0x10004F20 0x10004F50 0x10004F90 0x10006100 0x1006A440 0x1006A480
imp__GlobalFree@4,0x118F04C0,4,1,"named global, no address recorded",0x10009BA0 0x10036670 0x1006BB90
imp__GlobalMemoryStatus@4,0x118F04C8,1,0,"named global, no address recorded",0x10007F10
imp__GetDesktopWindow@0,0x118F05C4,1,0,"named global, no address recorded",0x10009C00
imp__SetTimer@16,0x118F064C,1,0,"named global, no address recorded",0x10035870
imp__mmioDescend@16,0x118F0654,1,0,"named global, no address recorded",0x10070170
imp__mmioSeek@12,0x118F0664,1,0,"named global, no address recorded",0x10070170
imp__mciSendCommandA@16,0x118F0684,1,0,"named global, no address recorded",0x10002E20
imp__CoCreateInstance@20,0x118F0730,1,0,"named global, no address recorded",0x10035BB0
